MatchId,Fecha,Local,Visita,HomeTeamId,AwayTeamId,Estado,ResultadoReal,Acierto,Mercado,Seleccion,Probabilidad
1657_12767_2026-09-08,2026-09-08,TuS RW Koblenz,FV Engers 07,1657,12767,PENDIENTE,,,Goles,+1.5 Goles,0.878
12773_14655_2026-09-08,2026-09-08,Gonsenheim,Diefflen,12773,14655,PENDIENTE,,,Goles,+1.5 Goles,0.965
12773_14655_2026-09-08,2026-09-08,Gonsenheim,Diefflen,12773,14655,PENDIENTE,,,Goles,+2.5 Goles,0.873
12773_14655_2026-09-08,2026-09-08,Gonsenheim,Diefflen,12773,14655,PENDIENTE,,,Ambos Anotan,Sí,0.817
21390_1405_2026-09-08,2026-09-08,Velden,Austria Klagenfurt,21390,1405,PENDIENTE,,,Goles,+1.5 Goles,0.954
21390_1405_2026-09-08,2026-09-08,Velden,Austria Klagenfurt,21390,1405,PENDIENTE,,,Goles,+2.5 Goles,0.846
21534_8261_2026-09-08,2026-09-08,Wallern / Marienkirchen,Wals-Grünau,21534,8261,PENDIENTE,,,Goles,+1.5 Goles,0.954
21534_8261_2026-09-08,2026-09-08,Wallern / Marienkirchen,Wals-Grünau,21534,8261,PENDIENTE,,,Goles,+2.5 Goles,0.843
21534_8261_2026-09-08,2026-09-08,Wallern / Marienkirchen,Wals-Grünau,21534,8261,PENDIENTE,,,Ambos Anotan,Sí,0.822
1044_14651_2026-09-08,2026-09-08,Smouha SC,Ceramica Cleopatra,1044,14651,PENDIENTE,,,Mega-Misil SGBB,X2_U45,0.855
1044_14651_2026-09-08,2026-09-08,Smouha SC,Ceramica Cleopatra,1044,14651,PENDIENTE,,,Doble Oportunidad,X2,0.896
1044_14651_2026-09-08,2026-09-08,Smouha SC,Ceramica Cleopatra,1044,14651,PENDIENTE,,,Goles,-3.5 Goles,0.875
1040_15731_2026-09-08,2026-09-08,Zamalek SC,Abu Qair Semad,1040,15731,PENDIENTE,,,Mega-Misil SGBB,1X_U45,0.888
1040_15731_2026-09-08,2026-09-08,Zamalek SC,Abu Qair Semad,1040,15731,PENDIENTE,,,Doble Oportunidad,1X,0.934
1040_15731_2026-09-08,2026-09-08,Zamalek SC,Abu Qair Semad,1040,15731,PENDIENTE,,,Goles,-3.5 Goles,0.866
8391_1967_2026-09-08,2026-09-08,Claypole,Central Ballester,8391,1967,PENDIENTE,,,Goles,-3.5 Goles,0.902
3986_27420_2026-09-08,2026-09-08,Atlanta United II,Connecticut FC,3986,27420,PENDIENTE,,,Goles,+1.5 Goles,0.931
18815_4004_2026-09-08,2026-09-08,New York City II,New York RB II,18815,4004,PENDIENTE,,,Goles,+1.5 Goles,0.931
13078_12968_2026-09-08,2026-09-08,Água Santa U20,Palmeiras U20,13078,12968,PENDIENTE,,,Goles,-3.5 Goles,0.924
673_3740_2026-09-08,2026-09-08,Sutjeska,Mornar,673,3740,PENDIENTE,,,Goles,+1.5 Goles,0.867
14489_12755_2026-09-08,2026-09-08,Friedberg,Eddersheim,14489,12755,PENDIENTE,,,Goles,+1.5 Goles,0.878
1354_37_2026-09-08,2026-09-08,Doncaster,Huddersfield,1354,37,PENDIENTE,,,Goles,+1.5 Goles,0.816
1364_7202_2026-09-08,2026-09-08,Exeter City,Tottenham Hotspur U21,1364,7202,PENDIENTE,,,Goles,+1.5 Goles,0.811
18702_18686_2026-09-08,2026-09-08,Vélez Sársfield Res.,Gimnasia La Plata Res.,18702,18686,PENDIENTE,,,Goles,-3.5 Goles,0.902
1830_7199_2026-09-08,2026-09-08,Boreham Wood,Newcastle United U21,1830,7199,PENDIENTE,,,Doble Oportunidad,1X,0.862
1830_7199_2026-09-08,2026-09-08,Boreham Wood,Newcastle United U21,1830,7199,PENDIENTE,,,Goles,+1.5 Goles,0.976
1830_7199_2026-09-08,2026-09-08,Boreham Wood,Newcastle United U21,1830,7199,PENDIENTE,,,Goles,+2.5 Goles,0.908
1830_7199_2026-09-08,2026-09-08,Boreham Wood,Newcastle United U21,1830,7199,PENDIENTE,,,Ambos Anotan,Sí,0.811
8146_11913_2026-09-08,2026-09-08,Boston United,West Bromwich Albion U21,8146,11913,PENDIENTE,,,Goles,+1.5 Goles,0.881
1841_7204_2026-09-08,2026-09-08,FC Halifax Town,Wolves U21,1841,7204,PENDIENTE,,,Goles,+1.5 Goles,0.87
1823_19745_2026-09-08,2026-09-08,Gateshead,Derby County U21,1823,19745,PENDIENTE,,,Goles,+1.5 Goles,0.925
1366_7193_2026-09-08,2026-09-08,Hartlepool,Everton U21,1366,7193,PENDIENTE,,,Goles,+1.5 Goles,0.954
1366_7193_2026-09-08,2026-09-08,Hartlepool,Everton U21,1366,7193,PENDIENTE,,,Goles,+2.5 Goles,0.844
1366_7193_2026-09-08,2026-09-08,Hartlepool,Everton U21,1366,7193,PENDIENTE,,,Ambos Anotan,Sí,0.819
7690_20094_2026-09-08,2026-09-08,AFC Hornchurch,Ipswich Town U21,7690,20094,PENDIENTE,,,Doble Oportunidad,1X,0.84
7690_20094_2026-09-08,2026-09-08,AFC Hornchurch,Ipswich Town U21,7690,20094,PENDIENTE,,,Goles,+1.5 Goles,0.852
1340_19746_2026-09-08,2026-09-08,Scunthorpe,Nottingham Forest U21,1340,19746,PENDIENTE,,,Goles,+1.5 Goles,0.88
1834_14430_2026-09-08,2026-09-08,Solihull Moors,Leeds United U21,1834,14430,PENDIENTE,,,Goles,+1.5 Goles,0.855
1835_20078_2026-09-08,2026-09-08,Sutton Utd,Birmingham City U21,1835,20078,PENDIENTE,,,Goles,+1.5 Goles,0.864
4699_7195_2026-09-08,2026-09-08,Truro City,Leicester City U21,4699,7195,PENDIENTE,,,Doble Oportunidad,1X,0.912
8663_11911_2026-09-08,2026-09-08,Wealdstone,Stoke City U21,8663,11911,PENDIENTE,,,Goles,+1.5 Goles,0.847
1818_7203_2026-09-08,2026-09-08,Aldershot Town,West Ham United U21,1818,7203,PENDIENTE,,,Goles,+1.5 Goles,0.879
1831_7194_2026-09-08,2026-09-08,Braintree,Fulham U21,1831,7194,PENDIENTE,,,Doble Oportunidad,X2,0.854
1831_7194_2026-09-08,2026-09-08,Braintree,Fulham U21,1831,7194,PENDIENTE,,,Goles,+1.5 Goles,0.907
22173_20081_2026-09-08,2026-09-08,Fleetwood Town U21,Burnley U21,22173,20081,PENDIENTE,,,Goles,+1.5 Goles,0.883
20084_20079_2026-09-08,2026-09-08,Hull City U21,Brentford U21,20084,20079,PENDIENTE,,,Doble Oportunidad,X2,0.848
20084_20079_2026-09-08,2026-09-08,Hull City U21,Brentford U21,20084,20079,PENDIENTE,,,Goles,+1.5 Goles,0.888
16156_16157_2026-09-08,2026-09-08,Ruggell II,Schaan,16156,16157,PENDIENTE,,,Doble Oportunidad,1X,0.885
12952_25933_2026-09-08,2026-09-08,Atlético Mineiro U20,Sobradinho U20,12952,25933,PENDIENTE,,,Doble Oportunidad,1X,0.886
12954_23274_2026-09-08,2026-09-08,Bahia U20,Atlético Alagoinhas U20,12954,23274,PENDIENTE,,,Doble Oportunidad,1X,0.842
12954_23274_2026-09-08,2026-09-08,Bahia U20,Atlético Alagoinhas U20,12954,23274,PENDIENTE,,,Goles,+1.5 Goles,0.833
